[snack_mall] 2026-05-28 00:57:04.270 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[snack_mall] 2026-05-28 00:57:04.286 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[snack_mall] 2026-05-28 00:57:07.282 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
[snack_mall] 2026-05-28 00:57:07.856 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
[snack_mall] 2026-05-28 00:57:07.908 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
[snack_mall] 2026-05-28 00:57:07.954 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
[snack_mall] 2026-05-28 00:57:07.979 [main] INFO  com.cow.MallApplication - Started MallApplication in 10.92 seconds (JVM running for 14.007)
[snack_mall] 2026-05-28 01:00:47.871 [http-nio-9999-exec-4] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1773302246] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
[snack_mall] 2026-05-28 01:00:47.878 [http-nio-9999-exec-4] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[snack_mall] 2026-05-28 01:00:47.878 [http-nio-9999-exec-4] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[snack_mall] 2026-05-28 01:00:47.884 [http-nio-9999-exec-4] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
[snack_mall] 2026-05-28 01:19:59.054 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
[snack_mall] 2026-05-28 01:19:59.057 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
[snack_mall] 2026-05-28 01:19:59.193 [SpringContextShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[snack_mall] 2026-05-28 01:19:59.197 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
[snack_mall] 2026-05-28 01:19:59.202 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
[snack_mall] 2026-05-28 01:20:06.191 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
[snack_mall] 2026-05-28 01:20:06.207 [main] INFO  com.cow.MallApplication - Starting MallApplication on LAPTOP-OKUDRRGG with PID 29728 (D:\桌面文件\家电销售系统\springboot\target\classes started by zzy in D:\桌面文件\家电销售系统\springboot)
[snack_mall] 2026-05-28 01:20:06.208 [main] INFO  com.cow.MallApplication - The following profiles are active: redis,mail,jdbc
[snack_mall] 2026-05-28 01:20:06.918 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[snack_mall] 2026-05-28 01:20:06.918 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[snack_mall] 2026-05-28 01:20:06.989 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64ms. Found 0 JPA repository interfaces.
[snack_mall] 2026-05-28 01:20:07.001 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[snack_mall] 2026-05-28 01:20:07.002 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[snack_mall] 2026-05-28 01:20:07.053 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43ms. Found 0 Redis repository interfaces.
[snack_mall] 2026-05-28 01:20:07.270 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - Post-processing PropertySource instances
[snack_mall] 2026-05-28 01:20:07.290 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
[snack_mall] 2026-05-28 01:20:07.290 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
[snack_mall] 2026-05-28 01:20:07.290 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
[snack_mall] 2026-05-28 01:20:07.291 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
[snack_mall] 2026-05-28 01:20:07.291 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
[snack_mall] 2026-05-28 01:20:07.291 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
[snack_mall] 2026-05-28 01:20:07.291 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource applicationConfig: [classpath:/application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
[snack_mall] 2026-05-28 01:20:07.328 [main] INFO  c.u.j.filter.DefaultLazyPropertyFilter - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
[snack_mall] 2026-05-28 01:20:07.514 [main] INFO  c.u.j.resolver.DefaultLazyPropertyResolver - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
[snack_mall] 2026-05-28 01:20:07.516 [main] INFO  c.u.j.detector.DefaultLazyPropertyDetector - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
[snack_mall] 2026-05-28 01:20:07.620 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
[snack_mall] 2026-05-28 01:20:07.628 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
[snack_mall] 2026-05-28 01:20:07.628 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[snack_mall] 2026-05-28 01:20:07.628 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
[snack_mall] 2026-05-28 01:20:07.630 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.3.1] using APR version [1.7.4].
[snack_mall] 2026-05-28 01:20:07.630 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
[snack_mall] 2026-05-28 01:20:07.630 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
[snack_mall] 2026-05-28 01:20:07.660 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
[snack_mall] 2026-05-28 01:20:07.810 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[snack_mall] 2026-05-28 01:20:07.810 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1568 ms
[snack_mall] 2026-05-28 01:20:07.961 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
[snack_mall] 2026-05-28 01:20:08.116 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[snack_mall] 2026-05-28 01:20:08.167 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.25.Final
[snack_mall] 2026-05-28 01:20:08.304 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[snack_mall] 2026-05-28 01:20:08.420 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[snack_mall] 2026-05-28 01:20:09.050 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[snack_mall] 2026-05-28 01:20:09.059 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[snack_mall] 2026-05-28 01:20:10.357 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
[snack_mall] 2026-05-28 01:20:10.630 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
[snack_mall] 2026-05-28 01:20:10.652 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
[snack_mall] 2026-05-28 01:20:10.672 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
[snack_mall] 2026-05-28 01:20:10.683 [main] INFO  com.cow.MallApplication - Started MallApplication in 4.858 seconds (JVM running for 5.643)
[snack_mall] 2026-05-28 01:20:24.907 [http-nio-9999-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[snack_mall] 2026-05-28 01:20:24.907 [http-nio-9999-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[snack_mall] 2026-05-28 01:20:24.918 [http-nio-9999-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
[snack_mall] 2026-05-28 01:26:12.693 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
[snack_mall] 2026-05-28 01:26:12.695 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
[snack_mall] 2026-05-28 01:26:12.814 [SpringContextShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[snack_mall] 2026-05-28 01:26:12.817 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
[snack_mall] 2026-05-28 01:26:12.822 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
[snack_mall] 2026-05-28 01:26:18.771 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
[snack_mall] 2026-05-28 01:26:18.788 [main] INFO  com.cow.MallApplication - Starting MallApplication on LAPTOP-OKUDRRGG with PID 22600 (D:\桌面文件\家电销售系统\springboot\target\classes started by zzy in D:\桌面文件\家电销售系统\springboot)
[snack_mall] 2026-05-28 01:26:18.789 [main] INFO  com.cow.MallApplication - The following profiles are active: redis,mail,jdbc
[snack_mall] 2026-05-28 01:26:19.465 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[snack_mall] 2026-05-28 01:26:19.465 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[snack_mall] 2026-05-28 01:26:19.533 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 62ms. Found 0 JPA repository interfaces.
[snack_mall] 2026-05-28 01:26:19.544 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[snack_mall] 2026-05-28 01:26:19.545 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[snack_mall] 2026-05-28 01:26:19.592 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40ms. Found 0 Redis repository interfaces.
[snack_mall] 2026-05-28 01:26:19.795 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - Post-processing PropertySource instances
[snack_mall] 2026-05-28 01:26:19.813 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
[snack_mall] 2026-05-28 01:26:19.813 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
[snack_mall] 2026-05-28 01:26:19.813 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
[snack_mall] 2026-05-28 01:26:19.813 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
[snack_mall] 2026-05-28 01:26:19.814 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
[snack_mall] 2026-05-28 01:26:19.814 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
[snack_mall] 2026-05-28 01:26:19.814 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource applicationConfig: [classpath:/application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
[snack_mall] 2026-05-28 01:26:19.851 [main] INFO  c.u.j.filter.DefaultLazyPropertyFilter - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
[snack_mall] 2026-05-28 01:26:20.026 [main] INFO  c.u.j.resolver.DefaultLazyPropertyResolver - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
[snack_mall] 2026-05-28 01:26:20.028 [main] INFO  c.u.j.detector.DefaultLazyPropertyDetector - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
[snack_mall] 2026-05-28 01:26:20.117 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
[snack_mall] 2026-05-28 01:26:20.125 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
[snack_mall] 2026-05-28 01:26:20.126 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[snack_mall] 2026-05-28 01:26:20.126 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
[snack_mall] 2026-05-28 01:26:20.127 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.3.1] using APR version [1.7.4].
[snack_mall] 2026-05-28 01:26:20.127 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
[snack_mall] 2026-05-28 01:26:20.127 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
[snack_mall] 2026-05-28 01:26:20.158 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.14 4 Jun 2024]
[snack_mall] 2026-05-28 01:26:20.303 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[snack_mall] 2026-05-28 01:26:20.303 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1476 ms
[snack_mall] 2026-05-28 01:26:20.448 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
[snack_mall] 2026-05-28 01:26:20.607 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[snack_mall] 2026-05-28 01:26:20.644 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.25.Final
[snack_mall] 2026-05-28 01:26:20.743 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[snack_mall] 2026-05-28 01:26:20.847 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[snack_mall] 2026-05-28 01:26:21.411 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[snack_mall] 2026-05-28 01:26:21.419 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[snack_mall] 2026-05-28 01:26:22.531 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
[snack_mall] 2026-05-28 01:26:22.786 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
[snack_mall] 2026-05-28 01:26:22.808 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
[snack_mall] 2026-05-28 01:26:22.826 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
[snack_mall] 2026-05-28 01:26:22.837 [main] INFO  com.cow.MallApplication - Started MallApplication in 4.447 seconds (JVM running for 5.222)
[snack_mall] 2026-05-28 01:26:29.801 [http-nio-9999-exec-3] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[snack_mall] 2026-05-28 01:26:29.801 [http-nio-9999-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[snack_mall] 2026-05-28 01:26:29.808 [http-nio-9999-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
[snack_mall] 2026-05-28 01:27:10.112 [http-nio-9999-exec-8] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1773302246] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
[snack_mall] 2026-05-28 01:27:10.112 [http-nio-9999-exec-5] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1773302246] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
[snack_mall] 2026-05-28 01:27:10.112 [http-nio-9999-exec-9] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1773302246] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
[snack_mall] 2026-05-28 01:29:49.054 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
[snack_mall] 2026-05-28 01:29:49.057 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
[snack_mall] 2026-05-28 01:29:49.178 [SpringContextShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[snack_mall] 2026-05-28 01:29:49.180 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
[snack_mall] 2026-05-28 01:29:49.185 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
[snack_mall] 2026-05-28 01:29:55.115 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
[snack_mall] 2026-05-28 01:29:55.135 [main] INFO  com.cow.MallApplication - Starting MallApplication on LAPTOP-OKUDRRGG with PID 24720 (D:\桌面文件\家电销售系统\springboot\target\classes started by zzy in D:\桌面文件\家电销售系统\springboot)
[snack_mall] 2026-05-28 01:29:55.136 [main] INFO  com.cow.MallApplication - The following profiles are active: redis,mail,jdbc
[snack_mall] 2026-05-28 01:29:55.870 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
